"Timecode","Content","Content_zh"
"00:00:35,002 --> 00:00:36,336","Schafer: Oh, Brad is out. Okay.","Schafer：喔，Brad 不在。好。"
"00:00:36,336 --> 00:00:37,371","Hello everybody.","大家好"
"00:00:37,371 --> 00:00:38,405","Hi. It's good to see you.","嗨，很高興見到你。"
"00:00:38,405 --> 00:00:39,706","Hello. Thank you for coming.","哈囉，謝謝你們來。"
"00:00:39,706 --> 00:00:44,444","So, uh, it's Monday, and Friday was terrible.","今天是星期一，而上星期五真的很糟。"
"00:00:44,444 --> 00:00:45,812","Uh, all of you were here.","呃，你們當時都在。"
"00:00:45,812 --> 00:00:49,616","I want to just think everyone for, uh, showing so much class","我想謝謝大家，呃，那天表現得那麼有風度，"
"00:00:49,616 --> 00:00:50,817","going through that difficult day.","一起度過那個艱難的日子。"
"00:00:50,817 --> 00:00:54,454","You guys all, um, uh, held together nicely.","大家都，嗯，撐得很好。"
"00:00:54,454 --> 00:00:58,525","It was a rough day on everybody and, um, I think you showed a lot of compassion","那天對每個人都很難熬，嗯，我覺得大家展現了很多同理心，"
"00:00:58,525 --> 00:01:03,196","for the people who are leaving and also understanding for those of us who had to make that decision,","給那些要離開的人，也體諒我們這些不得不做出決定的人，"
"00:01:03,196 --> 00:01:05,265","and it really helped us get through it.","這真的幫助我們撐了過來。"
"00:01:05,265 --> 00:01:09,002","And we will--we are getting through it, and it's, um...","我們會…… 我們會熬過去的……"
"00:01:09,002 --> 00:01:12,539","Now we have a bunch of games we gotta make and stuff to do.","現在我們還有一堆遊戲要做、一堆事情要忙。"
"00:01:12,539 --> 00:01:17,844","Um, we are still helping the people who need letters of reference,","嗯，我們還在幫需要推薦信的人，"
"00:01:17,844 --> 00:01:19,846","letters of recommendation, stuff like that.","像推薦信之類的。"
"00:01:19,846 --> 00:01:23,450","Help--doing what we can to get them set up with new engagements.","盡我們所能幫他們找到新的工作機會。"
"00:01:23,450 --> 00:01:28,522","Um, but other than that, we here are still working on these games.","嗯，但除此之外，留下來的我們還是要繼續做這些遊戲。"
"00:01:32,259 --> 00:01:33,694","Did you want to talk about the layoffs?","你想談談裁員的事嗎？"
"00:01:33,694 --> 00:01:35,529","-Is that part of the documentary?","那是紀錄片的一部分嗎？"
"00:01:35,529 --> 00:01:38,298","Talk about the layoffs. I'm gonna have a drink.","說到裁員的事 我要喝一杯。"
"00:01:38,298 --> 00:01:40,100","Can I drink on camera?","我能在攝影機上喝酒嗎？"
"00:01:40,100 --> 00:01:42,536","If the kids are watchin' this, kids, don't drink.","如果孩子在看，孩子，不要喝酒。"
"00:01:42,536 --> 00:01:46,540","A week ago, we had a project canceled, an unannounced project from a publisher","一週前，我們有個專案被取消，是一個發行商委託、尚未公開的專案，"
"00:01:46,540 --> 00:01:47,874","that really liked the game.","而且他們其實很喜歡那款遊戲。"
"00:01:48,075 --> 00:01:51,278","We had just done our vertical slice and then gave us great feedback on it","我們才剛做完 vertical slice，他們也給了很好的回饋，"
"00:01:51,278 --> 00:01:53,046","and they said it was great and they really liked it.","他們說很棒，他們很喜歡"
"00:01:53,046 --> 00:01:58,352","And then the next call was they're canceling it for higher-up reasons.","結果下一通電話就說，因為高層因素，他們要取消。"
"00:01:58,352 --> 00:02:00,988","Well, that was a big project that was funding a lot of people.","那是個大專案，支撐著很多人的薪水。"
"00:02:00,988 --> 00:02:06,326","And--and then another one of our publishers from another project is having financial problems","然後我們另一個專案的發行商也遇到財務問題，"
"00:02:06,326 --> 00:02:08,161","and can't pay us.","也付不出錢給我們。"
"00:02:08,161 --> 00:02:11,498","Bailey: You know, it's public news now that Majesco is, um...","Bailey：Majesco 是……"
"00:02:12,599 --> 00:02:13,734","Pardon me.","抱歉"
"00:02:13,734 --> 00:02:14,735","Not timed there.","時間點真不巧。"
"00:02:14,735 --> 00:02:18,805","Majesco has made a public statement that","Majesco 公開宣佈："
"00:02:18,805 --> 00:02:24,444","their, you know, continued ability to perform as--as a going concern is at stake and, of course,","他們，你知道，能不能繼續營運都成了問題，當然，"
"00:02:24,444 --> 00:02:28,715","we did Costume Quest 2 with them and the payments were not complete for that.","我們和他們一起做了《Costume Quest 2》，但款項還沒付清。"
"00:02:28,715 --> 00:02:32,719","So we're actually-- we're owed money by Majesco that we're not getting paid.","所以其實 Majesco 欠我們錢，而我們現在拿不到。"
"00:02:32,719 --> 00:02:36,990","And then, of course Costume Quest 2, um, because of that statement, you can infer","當然，《Costume Quest 2》也因為那份聲明，你可以推斷，"
"00:02:36,990 --> 00:02:41,795","that it's not being marketed properly and it's not being distributed to its fullest extent","它沒有被好好行銷，也沒有得到應有的完整發行，"
"00:02:41,795 --> 00:02:46,767","that you would expect from a publisher, because there-- you know, the means and the people there to do that","不像你會期待發行商做到的那樣，因為他們那邊，你知道，已經沒有資源和人手，"
"00:02:46,767 --> 00:02:48,368","just don't exist anymore.","只是不再存在。"
"00:02:48,368 --> 00:02:49,736","Um, so it's kind of a perfect storm.","嗯，所以有點像所有壞事同時發生。"
"00:02:49,736 --> 00:02:53,206","It was a bad week to put it mildly.","保守地說，那是很糟的一週。"
"00:02:53,206 --> 00:02:55,308","So, glad that week's over.","所以，很高興那一週過去了。"
"00:02:55,308 --> 00:02:58,645","If that publisher hadn't canceled it, you know, things would have been--","如果那個發行商沒有取消，你知道，事情本來會……"
"00:02:58,645 --> 00:03:00,714","were looking really good for the studio.","工作室的狀況本來看起來很不錯。"
"00:03:00,714 --> 00:03:03,817","Um, I think things are still looking really good for the studio,","嗯，我覺得工作室現在其實仍然很有前景，"
"00:03:03,817 --> 00:03:06,720","but only because we took quick action.","但是因為我們動作很快"
"00:03:06,720 --> 00:03:09,256","Schafer: So we had to let go of 12 people.","Schafer：所以我們不得不裁掉 12 個人。"
"00:03:09,256 --> 00:03:15,629","Some of them, uh, had been here for a short period of time and some of them had been here for a long period of time,","有些人，呃，在這裡待的時間不長，有些人則待了很久，"
"00:03:15,629 --> 00:03:16,863","over ten years.","超過十年。"
"00:03:16,863 --> 00:03:20,133","So that was really hard.","所以那真的很難"
"00:03:20,133 --> 00:03:23,703","Stoddard: What do you want to know, how I feel about them and-- Off camera: Yeah, yeah, how was it? I mean you--","Stoddard：你想知道什麼？我對他們的感覺，還是…… 畫外音：對，對，感覺怎麼樣？我是說你……"
"00:03:23,703 --> 00:03:25,238","Stoddard: It was horrible. -Yeah.","Stoddard：太可怕了 -是的"
"00:03:25,238 --> 00:03:28,241","It was really horrible. Um...","太可怕了 嗯……"
"00:03:28,241 --> 00:03:34,514","I mean, I understand why it happened, but, like, we--the audio team was super tight, uh,","我是說，我明白為什麼會發生，但我們……音效團隊本來非常緊密，呃，"
"00:03:34,514 --> 00:03:36,416","and now there's two of us instead of four.","現在只有我們兩個而不是四個人"
"00:03:36,416 --> 00:03:38,318","Um, it was a heavy hit.","嗯，這是一個沉重的打擊。"
"00:03:38,318 --> 00:03:41,855","The day of the layoffs were just brutal.","裁員那天真的很殘酷。"
"00:03:41,855 --> 00:03:47,494","Kipnis: Uh, well, I will say that the layoffs-- I wasn't actually at the office when it happened, so...","Kipnis：呃，好吧，我會說裁員…… 我其實不是在辦公室，所以……"
"00:03:47,494 --> 00:03:52,632","And, um, at first, like, I--I got-- I got text messages about it","起初我收到簡訊"
"00:03:52,632 --> 00:03:56,103","and it was, uh...","而且……"
"00:03:56,103 --> 00:04:02,342","it was really tough to--to hear about it, um, and it--it was tough to, like, not be here to say goodbye","聽到這件事真的很難受，嗯，而且不能在這裡跟他們道別也很難受，"
"00:04:02,342 --> 00:04:05,779","to some of those people that I've worked with for years and years","對我多年工作的人"
"00:04:05,779 --> 00:04:10,884","and, like, you know, I'm gonna miss a lot.","而且，你知道，我會很想念很多人。"
"00:04:10,884 --> 00:04:13,854","I don't know what else to say.","我不知道還能說什麼"
